"","bvsp_ret","n225_ret","ft100_ret","sp500_ret","ssec_ret"
"1",-0.0107294627199206,-0.00595840839837791,0.00367780881130386,0.0060633451825538,0.000785742911157072
"2",0.00291069141313827,0.0192316678581559,-0.0050010411173691,-0.000212231694765919,-0.00145518137894207
"3",-0.0251266985274139,-0.015069454314057,-0.00454780079993533,0.000348248734820089,-0.00821133020821918
"4",0.0075542179919168,0.00199604376292584,0.00723692747804883,0.00230403036309479,-0.00708949163610306
"5",0.000140846487623136,-0.0312562619246393,0.00399799158285497,-0.0018960902115257,0.00670477641271727
"6",0.00805551005639238,0.024741325484035,0.00780172956008407,0.0051528891343553,-0.00172536093981801
"7",-0.00819635654401552,-0.00389976442930084,-0.000660051517467508,-0.0013480283593692,0.000174461932441972
"8",-0.0103967440673269,-0.000809375403377999,0.00203740765377347,-0.00390278060394866,-0.00930942639005128
"9",-0.013098300317882,0.00390099961543378,0.00073187159546606,0.00276991242951219,0.00167644864396532
"10",0.0154946784675776,0.00158143204799899,-0.00117125179610689,0.000574699765986786,0.0213975511478344
"11",-0.0200578322719931,-0.00793676830557288,-0.00779438657651887,-0.00892932453982542,-0.00467472017512449
"12",-0.0111126127960404,-0.0195795930458953,-0.0163134688736868,-0.0210964214964333,0.00596209305993334
"13",-0.00180127394547824,-0.0253871198186264,-0.0171029711732569,-0.0048882215903987,-0.0103198712005925
"14",0.00293065039881135,-0.00170548985945018,0.0032918737339358,0.00612187539440168,0.00256047753831368
"15",-0.00595402081786744,0.02659549881513,-0.00426940569417589,-0.0102617040053703,0.00557728121259515
"16",-0.0066033298664756,-0.0248014400489502,-0.000886630609103989,0.0112040442426675,-0.00824450767109841
"17",0.0174158286768691,-0.0369678478137807,0.00506479923687486,0.00157611480063391,0.00559840392319799
"18",-0.00757951115164701,0.0175414437584962,0.00302354542055028,0.00156800464224105,0.0201286565807255
"19",0.0105496766941666,0.00553688143036979,0.0125730782644684,0.0107320773255291,0.0113862325972969
"20",-0.00841408692057399,-0.0180895439438604,-0.00233982859850101,0.00579321182005987,-0.00549108875292337
"21",0.00808219868089211,-0.0153713317576489,0.000630518072378905,0.00479768947917147,0.00828006204410237
"22",-0.0337792265977086,0.0363742281847426,0.0197331520498771,0.00115780345614702,0.00151975636703572
