"","BVSP_ret","N225_ret","FT100_ret","SP500_ret","SSEC_ret"
"BVSP_ret",1,0.099634118661764,0.293831126089482,0.329825230378138,0.08504970720414
"N225_ret",0.099634118661764,1,0.19659920704462,0.102673748240955,0.163466339824776
"FT100_ret",0.293831126089482,0.19659920704462,1,0.421731737012055,0.128626926893627
"SP500_ret",0.329825230378138,0.102673748240955,0.421731737012055,1,0.0606927232284715
"SSEC_ret",0.08504970720414,0.163466339824776,0.128626926893627,0.0606927232284715,1
